peninsular_rank,state,district,code_state_district,population,pop_cagr,youth_share,household_total,housing_total,household_size_avg,area_km2,income_mean,income_median,expenditure_mean,gini,poverty,pop_density,demand_index,n_7-Eleven,n_99 Speedmart,n_FamilyMart,n_KKmart,n_myNEWS,kkmart_count,total_stores,competitor_count,stores_per_100k,kkmart_per_100k,kkmart_share,saturation_ratio,saturation_level,supply_index,whitespace_score,category,region,saturation_vs_peninsular,headroom_to_par,kkmart_fair_gap
16,Kelantan,Jeli,3_10,57800.0,0.0138766659543609,0.4775086505190312,11620.0,11451.0,4.6,1326,3735,2906,2746,0.35032,11.3,43.58974358974359,0.102,3,0,0,0,0,0,3,3,5.19,0.0,0.0,0.231,underserved,0.0855,0.0165,low_demand,Central/East Coast,0.2,12,0
17,Kelantan,Pasir Puteh,3_5,143000.0,0.0122545381354364,0.4020979020979021,26440.0,33404.0,5.1,423,4712,3453,3525,0.37796,15.9,338.0614657210402,0.1134,8,0,1,0,0,0,9,9,6.29,0.0,0.0,0.279,underserved,0.1037,0.0097,low_demand,Central/East Coast,0.243,28,1
18,Terengganu,Kuala Nerus,11_8,155900.0,0.0172347435775603,0.4528543938422065,35392.0,38903.0,4.1,398,7983,6800,5224,0.27252,1.9,391.7085427135679,0.1781,16,0,0,0,0,0,16,16,10.26,0.0,0.0,0.456,underserved,0.1691,0.009,open_whitespace,Central/East Coast,0.396,24,2
19,Kedah,Padang Terap,2_8,67700.0,0.0075249850687748,0.4180206794682422,15968.0,19028.0,4.1,1359,4858,3902,3751,0.32346,8.9,49.81604120676968,0.1007,1,2,1,0,0,0,4,4,5.91,0.0,0.0,0.263,underserved,0.0974,0.0033,low_demand,North,0.228,14,1
20,Selangor,Gombak,10_1,980300.0,0.0099059508959162,0.4205855350402938,222549.0,253148.0,4.2,653,13523,10180,6673,0.39247,2.4,1501.2251148545176,0.3848,60,93,15,47,15,47,230,183,23.46,4.79,0.204,1.042,balanced,0.3867,-0.0019,competitive,Central/East Coast,0.906,24,0
21,Perlis,Perlis,9_1,296800.0,0.0102825734813434,0.4524932614555256,80850.0,73104.0,3.5,819,5664,4713,3834,0.33589,4.0,362.3931623931624,0.1746,18,14,2,0,0,0,34,34,11.46,0.0,0.0,0.509,balanced,0.1889,-0.0143,competitor_led,North,0.442,43,5
22,Selangor,Ulu Langat,10_8,1508100.0,0.0186776006150362,0.4229162522379153,387547.0,431574.0,3.6,833,13386,11210,6289,0.32633,0.5,1810.4441776710685,0.5119,124,186,26,119,27,119,482,363,31.96,7.89,0.247,1.42,saturated,0.5268,-0.0149,saturated,Central/East Coast,1.234,-91,0
23,Kelantan,Gua Musang,3_8,110500.0,0.0204624380400635,0.4271493212669683,20324.0,25763.0,5.0,6362,4473,3342,3625,0.36024,18.5,17.368751964790945,0.1169,7,1,1,0,0,0,9,9,8.14,0.0,0.0,0.362,underserved,0.1342,-0.0173,open_whitespace,Central/East Coast,0.314,20,1
24,Terengganu,Besut,11_1,165400.0,0.0176836163315645,0.4135429262394196,36345.0,41340.0,4.2,1234,6285,4743,4191,0.33019,12.7,134.0356564019449,0.1373,16,0,0,0,0,0,16,16,9.67,0.0,0.0,0.43,underserved,0.1594,-0.0221,open_whitespace,Central/East Coast,0.373,27,2
25,Terengganu,Dungun,11_2,168100.0,0.015450974886088,0.4402141582391434,39597.0,42294.0,4.1,2735,7902,6356,5215,0.30756,2.2,61.46252285191956,0.1672,15,4,1,0,0,0,20,20,11.9,0.0,0.0,0.529,balanced,0.1961,-0.0289,competitor_led,Central/East Coast,0.459,24,3
26,Terengganu,Setiu,11_7,64300.0,0.0187301520280105,0.4230171073094868,13763.0,15555.0,4.4,1304,6030,5211,4017,0.27489,7.5,49.309815950920246,0.1155,6,0,0,0,0,0,6,6,9.33,0.0,0.0,0.414,underserved,0.1538,-0.0383,low_demand,Central/East Coast,0.36,11,1
27,Terengganu,Kemaman,11_3,231800.0,0.0182775495554372,0.4106988783433994,52932.0,57733.0,4.0,2536,8381,6425,4978,0.37757,4.1,91.403785488959,0.1667,19,9,1,0,0,0,29,29,12.51,0.0,0.0,0.556,balanced,0.2062,-0.0395,competitor_led,Central/East Coast,0.483,31,4
28,Kedah,Pendang,2_11,101600.0,0.0067562956094981,0.4133858267716536,24077.0,29614.0,4.1,629,4986,3801,3562,0.34864,7.3,161.5262321144674,0.104,4,4,1,0,0,0,9,9,8.86,0.0,0.0,0.394,underserved,0.146,-0.042,low_demand,North,0.342,17,1
29,Kedah,Baling,2_1,148100.0,0.0095059505684222,0.4132343011478731,37438.0,41987.0,3.8,1529,4263,3400,2732,0.34655,14.4,96.86069326357097,0.0966,4,8,1,0,0,0,13,13,8.78,0.0,0.0,0.39,underserved,0.1447,-0.0481,low_demand,North,0.339,25,2
30,Pahang,Pekan,6_6,128000.0,0.0137405935827052,0.4640625,32130.0,33125.0,3.5,3805,4780,4053,3429,0.30294,11.6,33.63994743758213,0.1274,5,5,3,1,0,1,14,13,10.94,0.78,0.071,0.486,underserved,0.1803,-0.0529,room_to_expand,Central/East Coast,0.422,19,1
31,Kelantan,Kuala Krai,3_9,111800.0,0.015811502228425,0.4087656529516994,23862.0,28982.0,4.4,2275,3798,2763,2853,0.39889,22.4,49.142857142857146,0.0921,9,0,1,0,0,0,10,10,8.94,0.0,0.0,0.397,underserved,0.1474,-0.0553,low_demand,Central/East Coast,0.345,19,1
32,W.P. Putrajaya,W.P. Putrajaya,16_1,120300.0,0.0244971326545579,0.3499584372402327,29699.0,38056.0,3.7,49,13473,10056,8897,0.3678,0.1,2455.1020408163267,0.2688,11,6,4,3,0,3,24,21,19.95,2.49,0.125,0.886,balanced,0.3288,-0.06,competitive,Central/East Coast,0.77,7,0
33,Terengganu,Kuala Terengganu,11_4,245400.0,0.0165555914952273,0.4132029339853301,59678.0,64340.0,3.8,210,7109,5872,4881,0.29973,5.9,1168.571428571429,0.1935,33,0,5,0,0,0,38,38,15.48,0.0,0.0,0.688,balanced,0.2552,-0.0617,competitor_led,Central/East Coast,0.598,26,6
34,Kedah,Bandar Baharu,2_2,45600.0,0.0066893361007971,0.4232456140350877,11112.0,12664.0,3.9,271,4565,3922,2751,0.29146,3.9,168.26568265682656,0.0786,1,3,0,0,0,0,4,4,8.77,0.0,0.0,0.39,underserved,0.1446,-0.066,low_demand,North,0.339,8,1
35,Pahang,Maran,6_10,119100.0,0.0148059415813042,0.4223341729638958,25147.0,29766.0,4.3,1917,5036,4319,3586,0.28798,8.8,62.1283255086072,0.1139,5,7,1,0,0,0,13,13,10.92,0.0,0.0,0.485,underserved,0.18,-0.0661,low_demand,Central/East Coast,0.422,18,2
36,Pahang,Lipis,6_5,102200.0,0.0141879409892715,0.4461839530332681,21013.0,23255.0,4.5,5198,4959,4115,4016,0.2799,9.2,19.66140823393613,0.1269,4,7,1,0,0,0,12,12,11.74,0.0,0.0,0.522,balanced,0.1935,-0.0666,competitor_led,Central/East Coast,0.453,14,2
