rank,state,district,code_state_district,population,pop_cagr,youth_share,household_total,housing_total,household_size_avg,area_km2,income_mean,income_median,expenditure_mean,gini,poverty,pop_density,demand_index,store_count,stores_per_100k,supply_index,whitespace_score,category
28,Kedah,Kota Setar,2_3,381800.0,0.005106436113959,0.4127815610267155,95942.0,109919.0,3.8,420,5959,4751,4253,0.34795,5.1,909.047619047619,0.1943,0,0.0,0.0,0.1943,prime_whitespace
29,Terengganu,Kuala Terengganu,11_4,245400.0,0.0165555914952273,0.4132029339853301,59678.0,64340.0,3.8,210,7109,5872,4881,0.29973,5.9,1168.571428571429,0.1935,0,0.0,0.0,0.1935,prime_whitespace
30,Johor,Muar,1_6,323300.0,0.0066830244567899,0.4460253634395298,69603.0,79980.0,4.2,1393,7572,5724,4740,0.39413,6.1,232.08901651112703,0.186,0,0.0,0.0,0.186,prime_whitespace
31,Johor,Kluang,1_3,333800.0,0.0076329762645339,0.4529658478130616,81993.0,94101.0,3.7,2865,6461,5204,4399,0.35367,7.2,116.50959860383944,0.1844,0,0.0,0.0,0.1844,prime_whitespace
32,Sarawak,Bintulu,13_19,188900.0,0.0141159791783578,0.4902064584436209,42791.0,46979.0,4.2,1991,9645,8567,4990,0.31769,3.5,94.87694625816172,0.1837,0,0.0,0.0,0.1837,prime_whitespace
33,Terengganu,Kuala Nerus,11_8,155900.0,0.0172347435775603,0.4528543938422065,35392.0,38903.0,4.1,398,7983,6800,5224,0.27252,1.9,391.7085427135679,0.1781,0,0.0,0.0,0.1781,prime_whitespace
34,Sabah,Kinabatangan,12_5,164200.0,0.0349833893113245,0.6090133982947625,32021.0,32969.0,4.5,6605,5543,4162,2394,0.39224,28.9,24.85995457986374,0.1769,0,0.0,0.0,0.1769,prime_whitespace
35,Perlis,Perlis,9_1,296800.0,0.0102825734813434,0.4524932614555256,80850.0,73104.0,3.5,819,5664,4713,3834,0.33589,4.0,362.3931623931624,0.1746,0,0.0,0.0,0.1746,prime_whitespace
36,Sarawak,Samarahan,13_4,135500.0,0.0137436800255028,0.5047970479704798,37080.0,42499.0,3.7,407,7123,5953,4475,0.32422,7.9,332.92383292383295,0.1744,0,0.0,0.0,0.1744,prime_whitespace
37,Sabah,Lahad Datu,12_2,253700.0,0.0258263360229666,0.5128104059913283,49147.0,49549.0,4.6,7444,5995,4457,3346,0.38801,23.5,34.08113917248791,0.1736,0,0.0,0.0,0.1736,prime_whitespace
38,Kedah,Kulim,2_6,352200.0,0.0105657445674463,0.4293015332197615,80772.0,93407.0,4.1,774,5636,4498,3647,0.35851,11.4,455.0387596899225,0.1716,0,0.0,0.0,0.1716,prime_whitespace
39,Perak,Muallim,8_11,79300.0,0.0083689303992957,0.5548549810844893,21282.0,20528.0,3.4,949,6122,5015,4374,0.35908,9.2,83.56164383561644,0.168,0,0.0,0.0,0.168,prime_whitespace
40,Terengganu,Dungun,11_2,168100.0,0.015450974886088,0.4402141582391434,39597.0,42294.0,4.1,2735,7902,6356,5215,0.30756,2.2,61.46252285191956,0.1672,0,0.0,0.0,0.1672,prime_whitespace
41,Terengganu,Kemaman,11_3,231800.0,0.0182775495554372,0.4106988783433994,52932.0,57733.0,4.0,2536,8381,6425,4978,0.37757,4.1,91.403785488959,0.1667,0,0.0,0.0,0.1667,prime_whitespace
42,Selangor,Ulu Selangor,10_9,258100.00000000003,0.0151855623627323,0.4184424641611778,60666.0,89865.0,4.0,1749,8779,7678,4604,0.29704,1.7,147.57004002287022,0.1663,0,0.0,0.0,0.1663,prime_whitespace
43,Pulau Pinang,Seberang Perai Selatan,7_3,188100.0,0.0055246998517395,0.4237107921318448,54648.0,95756.0,3.2,242,7472,6231,4665,0.35956,3.1,777.2727272727273,0.1662,0,0.0,0.0,0.1662,prime_whitespace
44,Sarawak,Miri,13_24,256200.0,0.0072529713243487,0.4516003122560499,62093.0,81646.0,3.9,5143,7932,6449,4333,0.34218,6.3,49.815282908808086,0.1643,0,0.0,0.0,0.1643,prime_whitespace
45,Johor,Kota Tinggi,1_4,233800.0,0.0125755370052216,0.4401197604790419,57786.0,70315.0,3.7,3489,7529,6227,4498,0.34335,5.0,67.01060475781026,0.1639,0,0.0,0.0,0.1639,prime_whitespace
46,Melaka,Jasin,4_2,156400.0,0.0073253043595267,0.4533248081841431,39361.0,51148.0,3.7,679,7145,5895,5005,0.33157,5.5,230.3387334315169,0.1637,0,0.0,0.0,0.1637,prime_whitespace
47,Sabah,Semporna,12_3,199300.0,0.0458227271538183,0.5168088309081786,29042.0,31553.0,5.7,1145,5098,4093,2466,0.34139,28.0,174.06113537117903,0.1605,0,0.0,0.0,0.1605,prime_whitespace
48,Sabah,Putatan,12_25,71000.0,0.0079000752365216,0.4507042253521127,15870.0,17470.0,4.3,40,7110,5699,4047,0.35061,12.9,1775.0,0.1601,0,0.0,0.0,0.1601,prime_whitespace
49,Sarawak,Sibu,13_15,255300.0,0.0071774940042774,0.4261652957305131,66409.0,84867.0,3.8,2230,6645,5248,4366,0.37413,10.2,114.48430493273544,0.1586,0,0.0,0.0,0.1586,prime_whitespace
50,Johor,Segamat,1_8,205100.0,0.0091014803347257,0.4509995124329595,52855.0,65038.0,3.6,2867,6578,5318,4426,0.33996,7.4,71.53819323334496,0.1585,0,0.0,0.0,0.1585,prime_whitespace
51,Pahang,Cameron Highlands,6_2,44500.0,0.03353181742901,0.5033707865168539,9798.0,15980.0,4.0,712,6265,5221,4229,0.27195,1.9,62.5,0.1564,0,0.0,0.0,0.1564,prime_whitespace
52,Sabah,Penampang,12_11,167600.0,0.008221120927691,0.4636038186157518,41400.0,44577.0,3.7,425,7491,6265,4194,0.32997,6.7,394.3529411764706,0.1564,0,0.0,0.0,0.1564,prime_whitespace
53,Kedah,Kubang Pasu,2_5,253400.0,0.0160116553661735,0.4127861089187056,58695.0,72463.0,3.9,946,6221,5201,4062,0.32483,3.3,267.8646934460888,0.1546,0,0.0,0.0,0.1546,prime_whitespace
54,Sabah,Kalabakan,12_27,58700.0,0.0505041338742331,0.5877342419080068,12024.0,12870.0,4.0,3885,4938,3931,2019,0.36775,33.3,15.109395109395107,0.1524,0,0.0,0.0,0.1524,prime_whitespace
55,W.P. Labuan,W.P. Labuan,15_1,100800.0,0.0146587474171775,0.431547619047619,23961.0,22879.0,3.9,92,8250,6904,4176,0.30028,2.5,1095.6521739130435,0.1515,0,0.0,0.0,0.1515,prime_whitespace
56,Johor,Pontian,1_7,177900.0,0.0065708433749513,0.4367622259696458,42519.0,46692.0,4.0,933,6913,5616,4535,0.36093,5.1,190.67524115755623,0.1498,0,0.0,0.0,0.1498,prime_whitespace
57,Perak,Manjung,8_2,255000.0,0.0080006375435044,0.4231372549019607,62890.0,89450.0,3.8,1126,6318,5135,3912,0.35358,3.8,226.46536412078152,0.1497,0,0.0,0.0,0.1497,prime_whitespace
58,Sabah,Kunak,12_23,79600.0,0.0367486092664623,0.5427135678391961,11885.0,13373.0,5.8,1134,5838,4480,2755,0.35178,25.4,70.19400352733686,0.146,0,0.0,0.0,0.146,prime_whitespace
59,Johor,Tangkak,1_10,169500.0,0.0092050443109792,0.4454277286135693,38178.0,43438.0,4.1,977,7093,5622,4198,0.37081,6.9,173.49027635619242,0.1447,0,0.0,0.0,0.1447,prime_whitespace
60,Negeri Sembilan,Port Dickson,5_3,135200.0,0.0123939383367901,0.4297337278106509,32697.0,50398.0,3.8,583,6054,4805,4500,0.34453,4.9,231.90394511149228,0.1432,0,0.0,0.0,0.1432,prime_whitespace
61,Terengganu,Marang,11_5,126700.0,0.0209853632226353,0.4080505130228887,27759.0,33335.0,4.2,667,6357,5291,4675,0.32464,9.0,189.9550224887556,0.1419,0,0.0,0.0,0.1419,prime_whitespace
62,Kelantan,Tumpat,3_7,189100.0,0.0125467671169516,0.387625594923321,34817.0,42113.0,5.2,180,4741,3749,3831,0.36652,13.5,1050.5555555555557,0.1404,0,0.0,0.0,0.1404,prime_whitespace
63,Selangor,Sabak Bernam,10_6,110300.0,0.0073873903241969,0.4097914777878513,28398.0,33750.0,3.7,1004,6930,5533,5128,0.32091,5.3,109.86055776892432,0.1386,0,0.0,0.0,0.1386,prime_whitespace
64,Terengganu,Besut,11_1,165400.0,0.0176836163315645,0.4135429262394196,36345.0,41340.0,4.2,1234,6285,4743,4191,0.33019,12.7,134.0356564019449,0.1373,0,0.0,0.0,0.1373,prime_whitespace
65,Perak,Larut Dan Matang,8_6,278200.0,0.0078811189181544,0.3770668583752696,70995.0,85931.0,3.7,1341,5400,4029,3798,0.36465,9.2,207.4571215510813,0.1358,0,0.0,0.0,0.1358,prime_whitespace
66,Pahang,Bentong,6_1,121200.0,0.0092876155083696,0.4381188118811881,30223.0,39466.0,3.8,1831,5563,4691,4386,0.24416,2.8,66.19333697433096,0.1349,0,0.0,0.0,0.1349,prime_whitespace
67,Sabah,Beluran,12_6,90000.0,0.0394342735827164,0.5255555555555556,19953.0,23094.0,3.8,5498,4501,3131,2301,0.39895,37.7,16.36958894143325,0.1347,0,0.0,0.0,0.1347,prime_whitespace
68,Kelantan,Bachok,3_1,165500.0,0.0127851360339101,0.4392749244712991,31355.0,37058.0,4.9,279,4811,3625,3282,0.3743,12.1,593.1899641577061,0.1323,0,0.0,0.0,0.1323,prime_whitespace
69,Pahang,Raub,6_7,100100.0,0.0102472396065576,0.4475524475524475,22918.0,25294.0,4.1,2269,5445,4375,4247,0.25701,2.3,44.11635081533715,0.1304,0,0.0,0.0,0.1304,prime_whitespace
70,Perak,Perak Tengah,8_9,98700.0,0.0106633198327497,0.4690982776089158,28763.0,35318.0,3.5,1282,5956,4564,3744,0.39074,11.1,76.98907956318253,0.13,0,0.0,0.0,0.13,prime_whitespace
71,Sabah,Keningau,12_21,158100.0,0.0117207505649525,0.4541429475015813,34540.0,37110.0,4.4,3533,5979,4502,3478,0.35953,18.8,44.74950467025191,0.1283,0,0.0,0.0,0.1283,prime_whitespace
72,Pahang,Pekan,6_6,128000.0,0.0137405935827052,0.4640625,32130.0,33125.0,3.5,3805,4780,4053,3429,0.30294,11.6,33.63994743758213,0.1274,0,0.0,0.0,0.1274,prime_whitespace
73,Pahang,Lipis,6_5,102200.0,0.0141879409892715,0.4461839530332681,21013.0,23255.0,4.5,5198,4959,4115,4016,0.2799,9.2,19.66140823393613,0.1269,0,0.0,0.0,0.1269,prime_whitespace
74,Kelantan,Pasir Mas,3_4,240600.0,0.0108885723473977,0.4014962593516209,45128.0,54924.0,5.1,570,4602,3508,3225,0.3622,9.0,422.10526315789474,0.1261,0,0.0,0.0,0.1261,prime_whitespace
75,Sabah,Papar,12_12,156300.0,0.0091632609082326,0.4504158669225848,31066.0,35354.0,4.8,1243,5980,4871,3494,0.34067,16.2,125.74416733708767,0.1259,0,0.0,0.0,0.1259,prime_whitespace
76,Perak,Kuala Kangsar,8_5,180000.0,0.0054912306870735,0.4183333333333333,49186.0,55199.0,3.6,2562,5176,3813,3488,0.39084,13.0,70.2576112412178,0.1192,0,0.0,0.0,0.1192,prime_whitespace
77,Johor,Mersing,1_5,81100.0,0.0091448897061348,0.4414303329223181,20673.0,21815.0,3.6,2857,5426,4445,4032,0.33877,12.7,28.38641932096605,0.1192,0,0.0,0.0,0.1192,prime_whitespace
78,Pahang,Temerloh,6_8,177900.0,0.0129133868043485,0.403035413153457,42269.0,52014.0,4.0,2251,5180,4283,3580,0.29052,6.6,79.03154153709463,0.1189,0,0.0,0.0,0.1189,prime_whitespace
79,Sabah,Tuaran,12_10,142100.0,0.0115877407486901,0.4517945109078114,29281.0,34254.0,4.6,1166,5166,3921,3133,0.36609,25.8,121.8696397941681,0.1179,0,0.0,0.0,0.1179,prime_whitespace
80,Kelantan,Gua Musang,3_8,110500.0,0.0204624380400635,0.4271493212669683,20324.0,25763.0,5.0,6362,4473,3342,3625,0.36024,18.5,17.368751964790945,0.1169,0,0.0,0.0,0.1169,prime_whitespace
81,Kedah,Langkawi,2_7,99900.0,0.0150652638292441,0.4204204204204204,25983.0,33025.0,3.6,526,6087,5250,3680,0.30215,5.7,189.9239543726236,0.1163,0,0.0,0.0,0.1163,low_demand
82,Perak,Kerian,8_4,169600.0,0.004773405316484,0.4074292452830188,40251.0,49899.0,4.1,938,5276,3996,3615,0.36419,8.7,180.8102345415778,0.1159,0,0.0,0.0,0.1159,low_demand
83,Negeri Sembilan,Rembau,5_4,49200.0,0.009894461672808,0.4512195121951219,12722.0,16117.0,3.7,406,5544,4655,3897,0.34352,3.0,121.1822660098522,0.1158,0,0.0,0.0,0.1158,low_demand
84,Terengganu,Setiu,11_7,64300.0,0.0187301520280105,0.4230171073094868,13763.0,15555.0,4.4,1304,6030,5211,4017,0.27489,7.5,49.309815950920246,0.1155,0,0.0,0.0,0.1155,low_demand
85,Terengganu,Hulu Terengganu,11_6,74600.0,0.016401770599427,0.403485254691689,16907.0,20949.0,4.0,3875,5821,5090,4332,0.2934,10.8,19.251612903225805,0.1152,0,0.0,0.0,0.1152,low_demand
86,Sabah,Kudat,12_13,93200.0,0.0191205112426846,0.4613733905579399,18023.0,19795.0,4.7,1287,4049,2994,3080,0.36898,34.7,72.41647241647242,0.1147,0,0.0,0.0,0.1147,low_demand
87,Pahang,Maran,6_10,119100.0,0.0148059415813042,0.4223341729638958,25147.0,29766.0,4.3,1917,5036,4319,3586,0.28798,8.8,62.1283255086072,0.1139,0,0.0,0.0,0.1139,low_demand
88,Kelantan,Pasir Puteh,3_5,143000.0,0.0122545381354364,0.4020979020979021,26440.0,33404.0,5.1,423,4712,3453,3525,0.37796,15.9,338.0614657210402,0.1134,0,0.0,0.0,0.1134,low_demand
89,Pahang,Rompin,6_9,102900.0,0.0120141662794717,0.4207968901846452,27110.0,33471.0,3.6,5247,5103,4148,3695,0.32902,12.0,19.611206403659235,0.1112,0,0.0,0.0,0.1112,low_demand
90,Kelantan,Tanah Merah,3_6,158400.0,0.0123681162425159,0.4128787878787879,30134.0,34696.0,5.0,880,4177,2991,3247,0.37742,17.9,180.0,0.1107,0,0.0,0.0,0.1107,low_demand
91,Perak,Batang Padang,8_1,126700.0,0.0053996563082676,0.4119968429360695,33666.0,39982.0,3.6,1794,5178,3953,3710,0.36993,13.3,70.62430323299888,0.1099,0,0.0,0.0,0.1099,low_demand
92,Sarawak,Sebauh,13_36,31400.0,0.0148678255650305,0.5159235668789809,9363.0,10331.0,3.2,5229,5120,4428,2660,0.30347,4.8,6.004972270032511,0.1097,0,0.0,0.0,0.1097,low_demand
93,Sabah,Telupid,12_26,31200.0,0.0167002623963972,0.5192307692307693,7827.0,8935.0,3.7,2210,4819,3953,2538,0.32068,20.8,14.117647058823527,0.1092,0,0.0,0.0,0.1092,low_demand
94,Kedah,Pokok Sena,2_12,51000.0,0.0059704144739074,0.4235294117647059,12091.0,15249.0,3.7,244,5494,4668,4033,0.31026,7.2,209.01639344262296,0.1081,0,0.0,0.0,0.1081,low_demand
95,Negeri Sembilan,Kuala Pilah,5_2,72300.0,0.0070377318394336,0.4398340248962656,18715.0,24008.0,3.5,1027,4509,3471,3567,0.34594,6.8,70.39922103213243,0.1061,0,0.0,0.0,0.1061,low_demand
96,Kelantan,Machang,3_3,116700.0,0.0148913306621609,0.4113110539845758,21963.0,25946.0,4.9,526,4987,3429,3267,0.41379,12.0,221.8631178707224,0.1055,0,0.0,0.0,0.1055,low_demand
97,Perak,Hilir Perak,8_7,141900.0,-0.0001761028508882,0.4178999295278364,34663.0,43865.0,3.8,821,5203,4199,3386,0.3904,14.8,172.8380024360536,0.1054,0,0.0,0.0,0.1054,low_demand
98,Perak,Bagan Datuk,8_12,83400.0,0.0018066920984376,0.4640287769784172,23534.0,20263.0,3.4,974,5160,4076,3150,0.36109,12.4,85.62628336755647,0.1052,0,0.0,0.0,0.1052,low_demand
99,Kedah,Pendang,2_11,101600.0,0.0067562956094981,0.4133858267716536,24077.0,29614.0,4.1,629,4986,3801,3562,0.34864,7.3,161.5262321144674,0.104,0,0.0,0.0,0.104,low_demand
100,Pahang,Bera,6_11,101000.0,0.0073098752156806,0.4267326732673267,23378.0,25667.0,4.2,2214,4567,3866,3453,0.25588,8.5,45.61878952122854,0.1037,0,0.0,0.0,0.1037,low_demand
101,Sabah,Tongod,12_24,45000.0,0.0132022829838729,0.5088888888888888,10380.0,11231.0,4.1,10054,4019,2856,2445,0.34681,50.8,4.475830515217824,0.1033,0,0.0,0.0,0.1033,low_demand
102,Perak,Kampar,8_10,99900.0,0.003025753182057,0.4314314314314314,28809.0,40746.0,3.3,667,5087,4347,3276,0.3056,4.7,149.7751124437781,0.1025,0,0.0,0.0,0.1025,low_demand
103,Kelantan,Jeli,3_10,57800.0,0.0138766659543609,0.4775086505190312,11620.0,11451.0,4.6,1326,3735,2906,2746,0.35032,11.3,43.58974358974359,0.102,0,0.0,0.0,0.102,low_demand
104,Sabah,Kota Belud,12_9,110900.0,0.0085192454070561,0.454463480613165,20823.0,21393.0,5.1,1386,4949,3429,2791,0.42499,27.8,80.01443001443002,0.1014,0,0.0,0.0,0.1014,low_demand
105,Kedah,Padang Terap,2_8,67700.0,0.0075249850687748,0.4180206794682422,15968.0,19028.0,4.1,1359,4858,3902,3751,0.32346,8.9,49.81604120676968,0.1007,0,0.0,0.0,0.1007,low_demand
106,Pahang,Jerantut,6_3,100000.0,0.0102577523383116,0.423,22278.0,26579.0,4.3,7561,4537,3781,3326,0.28984,8.6,13.22576378785875,0.1006,0,0.0,0.0,0.1006,low_demand
107,Negeri Sembilan,Tampin,5_6,90600.0,0.0070199451318255,0.4006622516556291,22233.0,27086.0,3.9,851,5097,4012,3750,0.34719,7.3,106.46298472385428,0.1004,0,0.0,0.0,0.1004,low_demand
108,Sabah,Tenom,12_19,53800.0,0.0119667137245007,0.4479553903345725,10917.0,12559.0,4.7,2409,5217,4045,3267,0.33645,15.8,22.332918223329184,0.1001,0,0.0,0.0,0.1001,low_demand
109,Sabah,Nabawan,12_20,30700.0,0.0205586898447884,0.4397394136807818,5310.0,6076.0,5.3,6089,5016,4110,3228,0.31094,27.1,5.041878797832156,0.0975,0,0.0,0.0,0.0975,low_demand
110,Negeri Sembilan,Jempol,5_7,131300.0,0.0079625665502056,0.3769992383853769,32294.0,36982.0,3.9,1485,4848,3830,3608,0.33117,8.0,88.41750841750842,0.0975,0,0.0,0.0,0.0975,low_demand
111,Kedah,Sik,2_9,70200.0,0.0083628439530989,0.4173789173789173,17421.0,19135.0,3.8,1635,5053,3703,3530,0.33313,4.0,42.93577981651376,0.0969,0,0.0,0.0,0.0969,low_demand
112,Kedah,Baling,2_1,148100.0,0.0095059505684222,0.4132343011478731,37438.0,41987.0,3.8,1529,4263,3400,2732,0.34655,14.4,96.86069326357097,0.0966,0,0.0,0.0,0.0966,low_demand
113,Sarawak,Mukah,13_17,42500.0,0.0011799430552275,0.4423529411764706,11938.0,14573.0,3.5,2536,5962,4623,3615,0.38637,14.0,16.758675078864353,0.0965,0,0.0,0.0,0.0965,low_demand
114,Kedah,Yan,2_10,74700.0,0.0043986850687876,0.4163319946452476,16927.0,17983.0,4.3,246,4637,4080,3339,0.29118,6.0,303.6585365853659,0.096,0,0.0,0.0,0.096,low_demand
115,Sabah,Beaufort,12_16,77600.0,0.0062165597848187,0.4394329896907217,16504.0,17906.0,4.6,1735,4902,4018,3141,0.33769,19.8,44.72622478386168,0.0954,0,0.0,0.0,0.0954,low_demand
116,Sabah,Kota Marudu,12_14,73700.0,0.0147771296219778,0.4328358208955223,16299.0,18876.0,4.3,1917,4031,2677,2951,0.41883,49.9,38.44548774126239,0.0946,0,0.0,0.0,0.0946,low_demand
117,Sabah,Tambunan,12_22,33300.0,0.0131862509216673,0.4384384384384384,7215.0,7311.0,4.4,1347,5113,4055,3278,0.3373,9.0,24.72160356347439,0.0941,0,0.0,0.0,0.0941,low_demand
118,Sabah,Ranau,12_8,88700.0,0.010412045434057,0.4385569334836527,16441.0,17807.0,5.1,3608,5270,4058,2894,0.37495,25.4,24.584257206208427,0.0938,0,0.0,0.0,0.0938,low_demand
119,Kelantan,Kuala Krai,3_9,111800.0,0.015811502228425,0.4087656529516994,23862.0,28982.0,4.4,2275,3798,2763,2853,0.39889,22.4,49.142857142857146,0.0921,0,0.0,0.0,0.0921,low_demand
120,Sabah,Sipitang,12_18,40500.0,0.0173978273092247,0.4271604938271605,8226.0,9007.0,4.6,2732,5479,4182,3093,0.36014,22.1,14.824304538799414,0.0902,0,0.0,0.0,0.0902,low_demand
121,Kelantan,Kecil Lojing,3_11,11300.0,0.0161156598884515,0.4690265486725663,2123.0,2604.0,5.0,1817,3153,2630,2720,0.36543,43.8,6.219042377545405,0.0902,0,0.0,0.0,0.0902,low_demand
