Name ,Address,Latitude,Longitude
FAMILYMART Taman Selayang Utama,"No 3, Jalan SU 10, Taman Selayang Utama, 68100 Batu Caves, Selangor",3.2372191,101.6434936
FAMILYMART Kompleks Mutiara,"568-G-8 & 568-G-25, Kompleks Mutiara, 3 1/2 Miles, Jalan Ipoh, 52100 Kuala Lumpur",3.1890556,101.6806402
FAMILYMART Nusa Bestari,"14 (G), Jalan Bestari 2/2, Taman Nusa Bestari, 81200 Skudai, Johor",1.4807347,103.6653192
FAMILYMART Caltex LDP Batu 14,"Lot 58753, Batu 14, Jalan Puchong, 47100 Puchong, Selangor",3.0631571,101.6480663
FAMILYMART Caltex Lestari Perdana,"Lot 45245, Persiaran Lestari Perdana, Taman Lestari Perdana, 43300 Seri Kembangan",2.994195,101.6632209
FAMILYMART Plaza Sentosa,"Unit 1A & Unit 25, Ground Floor, Block F, Plaza Sentosa, 80150 Johor Bahru",1.492217,103.7683755
FAMILYMART Ampang Point,"87 (Ground Floor), Lorong Mamanda 1, Ampang Point, 68000 Ampang, Selangor",3.2063487,101.7620435
FAMILYMART Sunway Monash Residences,"Lot L2-02-01A, Sunway Monash Residence, Persiaran Tasik Barat, Sunway South Quay, 47500 Subang Jaya, Selangor",3.0632018,101.5996253
FAMILYMART Bukit Jalil Jaya,"22, 2, Jalan Jalil Jaya 2, Jalil Link, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.0583153,101.6737622
FAMILYMART JB City Square,"Lot J2-18 Level 02, Johor Bahru City Square, 106-108, Jalan Wong Ah Fook, 8000 Johor Bahru, Johor.",1.4616246,103.763596
FAMILYMART Mega Mendung,"109, Jalan Mega Mendung, Bandar Complex, 58200 Kuala Lumpur",3.0832233,101.671526
FAMILYMART Mid Valley L3,"T-030A, Third Floor, Mid Valley Megamall, Lingkaran Syed Putra, 59200 Kuala Lumpur",3.1175628,101.6774073
FAMILYMART I-City Mall,"Lot LG-39, Sentral i-City Shopping Centre, Plot 1, I-City, Persiaran Multimedia, Seksyen 7, 40000 Shah Alam",3.0642848,101.4832435
FAMILYMART Lebuh Turi,"No.112,Leboh Turi,Taman Chi Liung,41200 Klang",3.0274924,101.4283045
FAMILYMART Taman Johor Jaya,"No 22, Jalan Dedap 4, Taman Johor Jaya, 81100 Johor Bahru, Johor",1.5404941,103.8045325
FAMILYMART Lake Fields,"63A, Jalan Tasik Utama 3, The Trillium, Lake Fields, Sungei Besi, 57000 Kuala Lumpur",3.0620517,101.7109452
FAMILYMART Metropoint Kajang,"Lot G2, Ground Floor, Metro Point Complex, Jalan Jelok 8, 43000 Kajang, Selangor Darul Ehsan",2.991374,101.793807
FAMILYMART Jonker Street,"No. 127, Jalan Hang Jebat, 75200 Melaka",2.1976578,102.2453593
FAMILYMART Taman Molek,"No 45, Ground Floor, Jalan Molek 3/10, Taman Molek, 81100 Johor Bahru, Johor",1.5227809,103.7854838
FAMILYMART Mutiara Mas,"No. 2 , Jalan Mutiara 1/1, Taman Mutiara Mas, 81300 Skudai, Johor",1.5145793,103.6318646
FAMILYMART Indahpura,"189, Jalan Kenanga 29/4, Indahpura, 81000 Kulai, Johor",1.6417615,103.6189539
FAMILYMART Mesamall,"G-03a, Ground Floor, Mesamall, Persiaran Ilmu, Bandar Baru Nilai, 71800 Nilai, Negeri Sembilan",2.825131,101.777424
FAMILYMART Bukit Dahlia,"No. 5, Jalan Sejambak 14, Taman Bukit Dahlia, 81700, Johor",1.4782193,103.8958761
FAMILYMART Rasah Prima,"No.12-G, Jalan Rasah Prima 1, Pusat Komersial Rasah Prima, 70300 Seremban, Negeri Sembilan",2.6892153,101.9343249
FAMILYMART Taman University,"No. 1 , Jalan Pendidikan 8, Taman Universiti, 81300 Skudai, Johor Bahru",1.543647,103.630079
FAMILYMART Taman Mount Austin,"5-1A-1, Jalan Austin Heights 3, Taman Mount Austin, 81100 Johor Bahru, Johor",1.560941,103.7800794
FAMILYMART Ampang Jaya,"No.1A-00-06, Pangsapuri Melati Merdeka Villa, Jalan Merdeka Villa, 68000 Ampang, Selangor",3.138732,101.7645341
FAMILYMART Caltex Bestari Jaya,"PT 7490, Section 2, Kubang Badak, Pekan Bestari Jaya, 45000 Selangor",3.3834674,101.4150163
FAMILYMART Setia City Mall,"#LG-20A, Setia City Mall, No. 7, Persiaran Setia Dagang, Bandar Setia Alam, Seksyen U13, 40170 Shah Alam, Selangor",3.1094685,101.4602178
FAMILYMART Seremban Gateway,"Lot No 10 (A), Ground Floor, Gateway Off, Seremban - Bukit Nenas Highway, 70200 Seremban, Negeri Sembilan",2.7169307,101.9188839
FAMILYMART Centrepoint Seremban,"G-14, Ground Floor, Centerpoint Seremban, 33, Jalan Dato Siamang Gagap, Betaria Business Centre, 70100 Seremban, Negeri Sembilan",2.7228949,101.955192
FAMILYMART Empire Subang,"LG-11, Lower Ground Level,  Empire Shopping Gallery, Jalan SS 16/1, 47500 Subang Jaya, Selangor",3.0817783,101.5828038
FAMILYMART Pantai KL Hospital,"Retail Lot 10, Ground floor, Block A, Pantai Hospital Kuala Lumpur, 8, Jalan Bukit Pantai, 59100, Kuala Lumpur",3.1197152,101.6669298
FAMILYMART Taman Danau Desa,"No. 1, Jalan 2/109F, Taman Danau Desa, 58100 Kuala Lumpur",3.1006365,101.6874602
FAMILYMART Bandar Sri Damansara,"No. 11G, Jalan Tanjung, SD13/1, Bandar Sri Damansara, 52200 Kuala Lumpur",3.1885957,101.605322
FAMILYMART Sentosa Klang,"No. 6, Jalan Dato Yusuf Shabuddin 30, Taman Sentosa, 41200 Klang, Selangor",2.9940851,101.4821904
FAMILYMART Plaza Damas,"P-8A, Plaza Floor, No.60, Jalan Sri Hartamas 1, Taman Sri Hartamas, 50480 Kuala Lumpur",3.1639099,101.6566697
FAMILYMART PLUS Sg Buloh,"Lot R5, Restoran Jejantas Sg Buloh (Arah Selatan), KM 458.3, Lebuhraya Sg Buloh-Tanjung Malim , 47000 Sg Buloh, Selangor",3.1648938,101.5718336
FAMILYMART Berkeley Uptown,"Lot 75, Jalan Delima, Off Jalan Kapar, 41400 Klang, Selangor",3.0561224,101.4450419
